name,version,variant,arch,os,filename,date,size,checksum,integrity
njs,0.7.5,debug,aarch64,linux,njs-0.7.5-debug-aarch64-linux,2022-07-17T02:38:20Z,14199104,sha1:bdaf3291d50aaaa48fe7fc80fa98ca3de39a7c93,sha1-bdaf3291d50aaaa48fe7fc80fa98ca3de39a7c93
njs,0.7.5,debug,armv7l,linux,njs-0.7.5-debug-armv7l-linux,2022-07-17T02:38:20Z,11439376,sha1:e6561d64c55a84a7d4ab98fcc6c131e8fcf402d5,sha1-e6561d64c55a84a7d4ab98fcc6c131e8fcf402d5
njs,0.7.5,debug,ppc64le,linux,njs-0.7.5-debug-ppc64le-linux,2022-07-17T02:38:20Z,14029792,sha1:cd704498e0bf1fc5b8ef1b9de76bdcd6f44e9236,sha1-cd704498e0bf1fc5b8ef1b9de76bdcd6f44e9236
njs,0.7.5,debug,x86_64,darwin,njs-0.7.5-debug-x86_64-darwin,2022-07-17T02:38:20Z,3744016,sha1:d2d19040fd636ff5d29d530e4a091eef3e7e3346,sha1-d2d19040fd636ff5d29d530e4a091eef3e7e3346
njs,0.7.5,debug,x86_64,linux,njs-0.7.5-debug-x86_64-linux,2022-07-17T02:38:21Z,14269192,sha1:0afff8522995d0d65bce014f9b978f3551391756,sha1-0afff8522995d0d65bce014f9b978f3551391756
njs,0.7.5,,ppc64le,linux,njs-0.7.5-ppc64le-linux,2022-07-17T02:38:21Z,3394896,sha1:a23079f4911fd6be069934ac1cfb551d13de9bc7,sha1-a23079f4911fd6be069934ac1cfb551d13de9bc7
njs,0.7.5,,x86_64,darwin,njs-0.7.5-x86_64-darwin,2022-07-17T02:38:21Z,3232744,sha1:316ff7496afc59f9b3d6fcffc05dc1b359a02de1,sha1-316ff7496afc59f9b3d6fcffc05dc1b359a02de1
njs,0.7.5,,x86_64,linux,njs-0.7.5-x86_64-linux,2022-07-17T02:38:21Z,3219336,sha1:d828b843d3c3d5256a19566821d8bfa674a50001,sha1-d828b843d3c3d5256a19566821d8bfa674a50001
njs,0.7.6,,aarch64,linux,njs-0.7.6-aarch64-linux,2022-07-24T02:41:06Z,2952096,sha1:efc2bffd7d0a789b656997bf5ec4351ca6493b7f,sha1-efc2bffd7d0a789b656997bf5ec4351ca6493b7f
njs,0.7.6,,armv7l,linux,njs-0.7.6-armv7l-linux,2022-07-24T02:41:07Z,2117512,sha1:b42f2bfdd0b0e525e28a44193c9a8b9668807a7f,sha1-b42f2bfdd0b0e525e28a44193c9a8b9668807a7f
njs,0.7.6,debug,aarch64,linux,njs-0.7.6-debug-aarch64-linux,2022-07-24T02:41:07Z,14225672,sha1:8b87569b3bccd0448d4d2724cd2f8809ff931148,sha1-8b87569b3bccd0448d4d2724cd2f8809ff931148
njs,0.7.6,debug,armv7l,linux,njs-0.7.6-debug-armv7l-linux,2022-07-24T02:41:07Z,11459788,sha1:4d2c76bb61c04aceed35e666884408c7021d9bbc,sha1-4d2c76bb61c04aceed35e666884408c7021d9bbc
njs,0.7.6,debug,ppc64le,linux,njs-0.7.6-debug-ppc64le-linux,2022-07-24T02:41:08Z,14050000,sha1:0f3ae6ca003814a3fac7692080d593defe787f85,sha1-0f3ae6ca003814a3fac7692080d593defe787f85
njs,0.7.6,debug,x86_64,darwin,njs-0.7.6-debug-x86_64-darwin,2022-07-24T02:41:07Z,3745016,sha1:a26fdb1c8a2474d4778f3eb44fa57b714774d49d,sha1-a26fdb1c8a2474d4778f3eb44fa57b714774d49d
njs,0.7.6,debug,x86_64,linux,njs-0.7.6-debug-x86_64-linux,2022-07-24T02:41:08Z,14294416,sha1:fd9e812f8feb7dbabb1ec7728db236070c806bff,sha1-fd9e812f8feb7dbabb1ec7728db236070c806bff
njs,0.7.6,,ppc64le,linux,njs-0.7.6-ppc64le-linux,2022-07-24T02:41:08Z,3395144,sha1:b90ba0aa6343248952a63d3b4a9bef616a3e7df1,sha1-b90ba0aa6343248952a63d3b4a9bef616a3e7df1
njs,0.7.6,,x86_64,darwin,njs-0.7.6-x86_64-darwin,2022-07-24T02:41:08Z,3232800,sha1:dd754cdc9b4aa0b827373198e6411386e72bcb16,sha1-dd754cdc9b4aa0b827373198e6411386e72bcb16
njs,0.7.6,,x86_64,linux,njs-0.7.6-x86_64-linux,2022-07-24T02:41:08Z,3227816,sha1:58a7ed0c58249996b9d4e501f89810bd103328b5,sha1-58a7ed0c58249996b9d4e501f89810bd103328b5
